pixelx,pixely,pixelz,robotx,roboty,robotz
         273,         273,         559,           0.643797,          -0.079634,           0.034995
         274,         295,         559,           0.663818,          -0.079647,           0.035026
         274,         317,         558,           0.683823,          -0.079616,           0.035020
         274,         340,         556,           0.703818,          -0.079647,           0.034993
         274,         362,         553,           0.723809,          -0.079648,           0.034993
         274,         385,         554,           0.743797,          -0.079665,           0.034957
         252,         385,         555,           0.743754,          -0.099702,           0.034830
         252,         362,         555,           0.723770,          -0.099622,           0.034892
         252,         340,         556,           0.703720,          -0.099733,           0.034832
         252,         318,         558,           0.683767,          -0.099688,           0.034913
         252,         295,         560,           0.663783,          -0.099609,           0.034892
         251,         273,         561,           0.643772,          -0.099688,           0.034883
         251,         251,         562,           0.623774,          -0.099672,           0.034934
         251,         229,         561,           0.603756,          -0.099666,           0.034851
         251,         207,         561,           0.583780,          -0.099705,           0.034916
         250,         186,         562,           0.563782,          -0.099660,           0.034918
         250,         164,         563,           0.543793,          -0.099688,           0.034887
         250,         142,         563,           0.523797,          -0.099666,           0.034879
         250,         120,         562,           0.503752,          -0.099657,           0.034893
         249,          98,         562,           0.483778,          -0.099672,           0.034913
         249,          76,         565,           0.463773,          -0.099695,           0.034908
         249,          54,         566,           0.443765,          -0.099695,           0.034920
         248,          32,         566,           0.423781,          -0.099700,           0.034905
         226,          32,         562,           0.423811,          -0.119682,           0.035030
         226,          54,         564,           0.443787,          -0.119705,           0.035011
         227,          76,         563,           0.463792,          -0.119724,           0.035027
         227,          98,         561,           0.483802,          -0.119694,           0.035028
         228,         120,         563,           0.503775,          -0.119702,           0.035000
         228,         142,         561,           0.523786,          -0.119701,           0.035015
         228,         164,         563,           0.543815,          -0.119664,           0.035031
         228,         186,         561,           0.563782,          -0.119700,           0.035012
         229,         208,         562,           0.583788,          -0.119697,           0.034998
         229,         230,         564,           0.603785,          -0.119685,           0.035000
         229,         251,         561,           0.623816,          -0.119688,           0.035067
         229,         274,         560,           0.643804,          -0.119699,           0.035007
         229,         296,         559,           0.663784,          -0.119666,           0.035019
         229,         318,         556,           0.683795,          -0.119690,           0.035003
         229,         340,         557,           0.703808,          -0.119694,           0.035009
         230,         363,         555,           0.723810,          -0.119650,           0.035026
         230,         385,         554,           0.743804,          -0.119745,           0.034998
         230,         408,         553,           0.763801,          -0.119737,           0.035041
         207,         409,         555,           0.763782,          -0.139667,           0.035099
         207,         386,         554,           0.743762,          -0.139692,           0.034864
         207,         363,         555,           0.723771,          -0.139676,           0.034824
