a,b,c,d,e,f
         293.000000,         430.000000,         415.000000,           0.743322,          -0.057174,           0.173326
         323.000000,         430.000000,         414.000000,           0.743372,          -0.037263,           0.173223
         322.000000,         400.000000,         415.000000,           0.723364,          -0.037349,           0.173179
         322.000000,         370.000000,         416.000000,           0.703379,          -0.037434,           0.173174
         321.000000,         340.000000,         416.000000,           0.683358,          -0.037535,           0.173084
         320.000000,         310.000000,         417.000000,           0.663341,          -0.037612,           0.173070
         320.000000,         281.000000,         418.000000,           0.643330,          -0.037705,           0.172962
         319.000000,         251.000000,         419.000000,           0.623320,          -0.037773,           0.172880
         319.000000,         222.000000,         421.000000,           0.603279,          -0.037817,           0.172788
         318.000000,         193.000000,         420.000000,           0.583248,          -0.037904,           0.172725
         318.000000,         164.000000,         422.000000,           0.563232,          -0.037945,           0.172620
         317.000000,         135.000000,         422.000000,           0.543193,          -0.038027,           0.172543
         317.000000,         106.000000,         422.000000,           0.523197,          -0.038098,           0.172524
         316.000000,          76.000000,         424.000000,           0.503204,          -0.038125,           0.172494
         316.000000,          47.000000,         424.000000,           0.483232,          -0.038181,           0.172510
         345.000000,          46.000000,         425.000000,           0.483271,          -0.018237,           0.172493
         345.000000,          76.000000,         423.000000,           0.503280,          -0.018226,           0.172529
         346.000000,         105.000000,         422.000000,           0.523316,          -0.018196,           0.172587
         346.000000,         135.000000,         422.000000,           0.543339,          -0.018129,           0.172619
         347.000000,         163.000000,         420.000000,           0.563375,          -0.018091,           0.172725
         347.000000,         193.000000,         420.000000,           0.583384,          -0.018054,           0.172749
         348.000000,         222.000000,         419.000000,           0.603416,          -0.017940,           0.172815
         348.000000,         251.000000,         417.000000,           0.623453,          -0.017865,           0.172888
         349.000000,         281.000000,         416.000000,           0.643464,          -0.017815,           0.172922
         350.000000,         310.000000,         417.000000,           0.663459,          -0.017747,           0.172928
         350.000000,         340.000000,         416.000000,           0.683493,          -0.017686,           0.172929
         351.000000,         370.000000,         417.000000,           0.703527,          -0.017623,           0.173023
         351.000000,         400.000000,         415.000000,           0.723537,          -0.017546,           0.173112
         352.000000,         430.000000,         414.000000,           0.743560,          -0.017455,           0.173125
         382.000000,         430.000000,         415.000000,           0.743590,           0.002447,           0.173100
         381.000000,         400.000000,         415.000000,           0.723573,           0.002337,           0.173080
         380.000000,         370.000000,         416.000000,           0.703564,           0.002271,           0.173025
         380.000000,         340.000000,         417.000000,           0.683559,           0.002180,           0.172894
         379.000000,         310.000000,         416.000000,           0.663549,           0.002090,           0.172866
         378.000000,         280.000000,         416.000000,           0.643528,           0.002026,           0.172771
         378.000000,         251.000000,         416.000000,           0.623511,           0.001957,           0.172674
         377.000000,         221.000000,         416.000000,           0.603492,           0.001911,           0.172655
         377.000000,         192.000000,         419.000000,           0.583476,           0.001862,           0.172576
         376.000000,         163.000000,         420.000000,           0.563456,           0.001844,           0.172511
         376.000000,         134.000000,         421.000000,           0.543461,           0.001803,           0.172457
         375.000000,         105.000000,         423.000000,           0.523473,           0.001766,           0.172459
         375.000000,          76.000000,         423.000000,           0.503484,           0.001748,           0.172489
         374.000000,          46.000000,         422.000000,           0.483510,           0.001744,           0.172493
         403.000000,          46.000000,         424.000000,           0.483484,           0.021720,           0.172520
         404.000000,          75.000000,         422.000000,           0.503475,           0.021709,           0.172497
         405.000000,         105.000000,         422.000000,           0.523476,           0.021733,           0.172542
         405.000000,         134.000000,         421.000000,           0.543498,           0.021763,           0.172568
         405.000000,         163.000000,         419.000000,           0.563501,           0.021817,           0.172581
         406.000000,         192.000000,         418.000000,           0.583495,           0.021862,           0.172567
         407.000000,         221.000000,         418.000000,           0.603512,           0.021927,           0.172600
         407.000000,         251.000000,         415.000000,           0.623533,           0.021989,           0.172633
         408.000000,         280.000000,         417.000000,           0.643529,           0.022049,           0.172630
         409.000000,         310.000000,         417.000000,           0.663554,           0.022117,           0.172727
         409.000000,         339.000000,         415.000000,           0.683582,           0.022155,           0.172761
         410.000000,         369.000000,         414.000000,           0.703603,           0.022215,           0.172862
         411.000000,         400.000000,         415.000000,           0.723633,           0.022273,           0.172917
         412.000000,         430.000000,         414.000000,           0.743630,           0.022342,           0.172892
         442.000000,         430.000000,         414.000000,           0.743627,           0.042237,           0.172895
         441.000000,         399.000000,         415.000000,           0.723632,           0.042136,           0.172854
         440.000000,         369.000000,         416.000000,           0.703634,           0.042057,           0.172832
         439.000000,         339.000000,         416.000000,           0.683621,           0.041928,           0.172713
         438.000000,         310.000000,         416.000000,           0.663606,           0.041868,           0.172590
         437.000000,         280.000000,         417.000000,           0.643617,           0.041825,           0.172542
         437.000000,         250.000000,         417.000000,           0.623600,           0.041756,           0.172410
